province,population_2010_cens,urban_2010_percent,tota_fertility_rate,population_2015_cens
Aceh,4494410,23.6,2.79,4496570
North Sumatra,12982204,42.4,3.01,13923262
West Sumatra,4846909,29.0,2.91,5190577
Riau,5538367,43.7,2.82,6330941
Jambi,3092265,28.3,2.51,3397164
South Sumatra,7450394,34.4,2.56,8043042
Bengkulu,1715518,29.4,2.51,1872136
Lampung,7608405,21.0,2.45,8109601
Bangka Belitung Islands,1223296,43.0,2.54,1370331
Riau Islands,1679163,67.4,2.38,1968313
Banten,10632166,52.2,2.35,11934373
Jakarta,9607787,100.0,1.82,10154134
West Java,43053732,50.3,2.43,46668214
Central Java,32382657,40.4,2.20,33753023
Yogyakarta,3457491,57.7,1.94,3675768
East Java,37476757,40.9,2.00,38828061
Bali,3890757,49.8,2.13,4148588
West Nusa Tenggara,4500212,34.8,2.59,4830118
East Nusa Tenggara,4683827,15.9,3.82,5112760
West Kalimantan,4395983,25.1,2.64,4783209
Central Kalimantan,2212089,27.5,2.56,2490178
South Kalimantan,3626616,36.3,2.35,3984315
East Kalimantan,3028487,57.6,2.61,3422676
North Kalimantan,524656,639639
North Sulawesi,2270596,37.0,2.43,2409921
Gorontalo,1040164,25.5,2.76,1131670
Central Sulawesi,2635009,19.7,2.94,2872857
South Sulawesi,8034776,29.4,2.55,8512608
Southeast Sulawesi,2232586,20.8,3.20,2495248
West Sulawesi,1158651,--,3.33,1279994
Maluku,1533506,25.9,3.56,1683856
North Maluku,1038087,29.5,3.35,1160275
Papua,2833381,22.2,2.87,3143088
West Papua,760422,--,3.18,868819
